Domain,Linux,Accessible,Download,
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rh-common/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/v2vwin/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/jbeap/6.3/os,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/7/$basearch/rh-common/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/fastrack/rhel/server/7/$basearch/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/7/$basearch/supplementary/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/ceph-tools/1.3/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/jbeap/6.4/debug,RedHat,No,No,No
https://cdn.redhat.com/content/eus/rhel/server/7/$releasever/$basearch/oracle-java/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rh-common/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/jbeap/6.4/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/ceph-tools/2/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/7Server/$basearch/jbcs/1/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rhn-tools/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/jbeap/6.3/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/highavailability/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rhgs-server-bigdata/3.1/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/jbeap/7.0/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rhgs-server-splunk/3.1/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/openstack-tools/8/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/jbeap/6/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/7/$basearch/supplementary/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rhs-client/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/jbeap/7.0/os,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/7/$basearch/highavailability/os,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/7/$basearch/rh-common/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/openstack-tools/8/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/ceph-tools/1.3/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/7Server/$basearch/jbcs/1/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/7/$basearch/sat-tools/6/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/openstack-tools/8/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/supplementary/source/SRPMS,RedHat,No,No,No
